지점,지점명,일시,합계 일사량(MJ/m2)
90,속초,2021-01,
90,속초,2021-02,
90,속초,2021-03,
90,속초,2021-04,
90,속초,2021-05,
90,속초,2021-06,
90,속초,2021-07,
90,속초,2021-08,
90,속초,2021-09,
90,속초,2021-10,
90,속초,2021-11,
90,속초,2021-12,
93,북춘천,2021-01,274.71
93,북춘천,2021-02,366.24
93,북춘천,2021-03,471.84
93,북춘천,2021-04,564.07
93,북춘천,2021-05,569.66
93,북춘천,2021-06,599.05
93,북춘천,2021-07,697.93
93,북춘천,2021-08,480.64
93,북춘천,2021-09,464.07
93,북춘천,2021-10,342.76
93,북춘천,2021-11,271.29
93,북춘천,2021-12,252.38
95,철원,2021-01,261.89
95,철원,2021-02,337.51
95,철원,2021-03,469.76
95,철원,2021-04,567.05
95,철원,2021-05,590.74
95,철원,2021-06,615.72
95,철원,2021-07,691.79
95,철원,2021-08,486.91
95,철원,2021-09,476.77
95,철원,2021-10,355.35
95,철원,2021-11,261.99
95,철원,2021-12,236.21
98,동두천,2021-01,
98,동두천,2021-02,
98,동두천,2021-03,
98,동두천,2021-04,
98,동두천,2021-05,
98,동두천,2021-06,
98,동두천,2021-07,
98,동두천,2021-08,
98,동두천,2021-09,
98,동두천,2021-10,261.64
98,동두천,2021-11,258.11
98,동두천,2021-12,248.82
99,파주,2021-01,
99,파주,2021-02,
99,파주,2021-03,
99,파주,2021-04,
99,파주,2021-05,
99,파주,2021-06,
99,파주,2021-07,
99,파주,2021-08,
99,파주,2021-09,
99,파주,2021-10,263.31
99,파주,2021-11,266.77
99,파주,2021-12,250.9
100,대관령,2021-01,310.63
100,대관령,2021-02,379.72
100,대관령,2021-03,493.87
100,대관령,2021-04,604.86
100,대관령,2021-05,587.01
100,대관령,2021-06,565.43
100,대관령,2021-07,688.81
100,대관령,2021-08,385.83
100,대관령,2021-09,406.56
100,대관령,2021-10,369.84
100,대관령,2021-11,305.65
100,대관령,2021-12,291.96
101,춘천,2021-01,256.88
101,춘천,2021-02,328.03
101,춘천,2021-03,445.14
101,춘천,2021-04,537.02
101,춘천,2021-05,539.65
101,춘천,2021-06,585.1
101,춘천,2021-07,659.51
101,춘천,2021-08,449.57
101,춘천,2021-09,454.82
101,춘천,2021-10,322.46
101,춘천,2021-11,255.2
101,춘천,2021-12,227.56
102,백령도,2021-01,231.25
102,백령도,2021-02,345.43
102,백령도,2021-03,485.2
102,백령도,2021-04,601.52
102,백령도,2021-05,682.22
102,백령도,2021-06,577.25
102,백령도,2021-07,649.78
102,백령도,2021-08,505.26
102,백령도,2021-09,504.76
102,백령도,2021-10,393.66
102,백령도,2021-11,238.0
102,백령도,2021-12,210.76
104,북강릉,2021-01,278.85
104,북강릉,2021-02,352.26
104,북강릉,2021-03,446.67
104,북강릉,2021-04,578.24
104,북강릉,2021-05,592.14
104,북강릉,2021-06,561.15
104,북강릉,2021-07,671.93
104,북강릉,2021-08,391.2
104,북강릉,2021-09,416.25
104,북강릉,2021-10,321.45
104,북강릉,2021-11,296.63
104,북강릉,2021-12,266.08
105,강릉,2021-01,296.02
105,강릉,2021-02,366.73
105,강릉,2021-03,461.98
105,강릉,2021-04,571.24
105,강릉,2021-05,580.52
105,강릉,2021-06,552.76
105,강릉,2021-07,661.09
105,강릉,2021-08,367.38
105,강릉,2021-09,404.96
105,강릉,2021-10,328.63
105,강릉,2021-11,303.6
105,강릉,2021-12,286.04
106,동해,2021-01,
106,동해,2021-02,
106,동해,2021-03,
106,동해,2021-04,
106,동해,2021-05,
106,동해,2021-06,
106,동해,2021-07,
106,동해,2021-08,
106,동해,2021-09,
106,동해,2021-10,
106,동해,2021-11,
106,동해,2021-12,
108,서울,2021-01,270.25
108,서울,2021-02,348.55
108,서울,2021-03,476.94
108,서울,2021-04,558.28
108,서울,2021-05,570.5
108,서울,2021-06,563.35
108,서울,2021-07,578.3
108,서울,2021-08,428.88
108,서울,2021-09,474.13
108,서울,2021-10,353.62
108,서울,2021-11,271.64
108,서울,2021-12,257.25
112,인천,2021-01,269.39
112,인천,2021-02,334.51
112,인천,2021-03,455.93
112,인천,2021-04,547.8
112,인천,2021-05,571.02
112,인천,2021-06,580.67
112,인천,2021-07,623.39
112,인천,2021-08,461.24
112,인천,2021-09,445.86
112,인천,2021-10,354.86
112,인천,2021-11,253.12
112,인천,2021-12,248.45
114,원주,2021-01,280.29
114,원주,2021-02,346.81
114,원주,2021-03,462.9
114,원주,2021-04,550.1
114,원주,2021-05,543.93
114,원주,2021-06,592.1
114,원주,2021-07,628.49
114,원주,2021-08,455.88
114,원주,2021-09,433.79
114,원주,2021-10,358.03
114,원주,2021-11,264.99
114,원주,2021-12,249.55
115,울릉도,2021-01,196.35
115,울릉도,2021-02,283.35
115,울릉도,2021-03,467.59
115,울릉도,2021-04,607.5
115,울릉도,2021-05,584.7
115,울릉도,2021-06,540.7
115,울릉도,2021-07,623.9
115,울릉도,2021-08,446.31
